year,week,territory,continent,cases,deaths,population
2020,9,Iraq,Asia,20,0,38433600
2020,9,Ireland,Europe,1,0,4853506
2020,9,Israel,Asia,8,0,8883800
2020,9,Italy,Europe,1807,46,60431283
2020,9,Japan,Asia,110,5,126529100
2020,9,Jordan,Asia,1,0,9956011
2020,9,Kuwait,Asia,51,0,4137309
2020,9,Latvia,Europe,1,0,1926542
2020,9,Lebanon,Asia,12,0,6848925
2020,9,Lithuania,Europe,1,0,2789533
2020,9,Luxembourg,Europe,1,0,607728
2020,9,Malaysia,Asia,7,0,31528585
2020,9,Mexico,America,5,0,126190788
2020,9,Monaco,Europe,1,0,38682
2020,9,Morocco,Africa,1,0,36029138
2020,9,Nepal,Asia,0,0,28087871
2020,9,Netherlands,Europe,18,0,17231017
2020,9,New_Zealand,Oceania,1,0,4885500
2020,9,Nigeria,Africa,1,0,195874740
2020,9,North_Macedonia,Europe,1,0,2082958
2020,9,Norway,Europe,25,0,5314336
2020,9,Oman,Asia,5,0,4829483
2020,9,Pakistan,Asia,4,0,212215030
2020,9,Philippines,Asia,0,0,106651922
2020,9,Portugal,Europe,2,0,10281762
2020,9,Qatar,Asia,3,0,2781677
2020,9,Romania,Europe,3,0,19473936
2020,9,Russia,Europe,1,0,144478050
2020,9,San_Marino,Europe,8,1,33785
2020,9,Saudi_Arabia,Asia,1,0,33699947
2020,9,Senegal,Africa,1,0,15854360
2020,9,Singapore,Asia,18,0,5638676
2020,9,Sint_Maarten,America,1,0,41486
2020,9,South_Korea,Asia,3920,20,51635256
2020,9,Spain,Europe,189,0,46723749
2020,9,Sri_Lanka,Asia,0,0,21670000
2020,9,Sweden,Europe,14,0,10183175
2020,9,Switzerland,Europe,30,0,8516543
2020,9,Taiwan,Asia,11,0,23780452
2020,9,Thailand,Asia,6,1,69428524
2020,9,Tunisia,Africa,1,0,11565204
2020,9,United_Arab_Emirates,Asia,8,0,9630959
2020,9,United_Kingdom,Europe,27,0,66488991
2020,9,United_States_of_America,America,50,6,327167434
2020,9,Vietnam,Asia,0,0,95540395
2020,10,Afghanistan,Asia,3,0,37172386
2020,10,Albania,Europe,6,0,2866376
2020,10,Algeria,Africa,17,0,42228429
2020,10,Argentina,America,12,1,44494502
2020,10,Australia,Oceania,67,2,24992369
2020,10,Austria,Europe,113,0,8847037
2020,10,Azerbaijan,Europe,6,0,9942334
2020,10,Bahrain,Asia,62,0,1569439
2020,10,Bangladesh,Asia,3,0,161356039
2020,10,Belarus,Europe,5,0,9485386
2020,10,Belgium,Europe,231,0,11422068
2020,10,Bhutan,Asia,1,0,754394
2020,10,Bosnia_and_Herzegovina,Europe,2,0,3323929
2020,10,Brazil,America,23,0,209469333
2020,10,Brunei_Darussalam,Asia,1,0,428962
2020,10,Bulgaria,Europe,4,0,7024216
2020,10,Cambodia,Asia,1,0,16249798
2020,10,Cameroon,Africa,2,0,25216237
2020,10,Canada,America,50,1,37058856
2020,10,Chile,America,13,0,18729160
2020,10,China,Asia,618,193,1392730000
2020,10,Colombia,America,3,0,49648685
