date,year,month,day,territory,continent,population,cases,deaths
2020-02-18,2020,2,18,Algeria,Africa,42228429,0,0
2020-02-17,2020,2,17,Algeria,Africa,42228429,0,0
2020-02-16,2020,2,16,Algeria,Africa,42228429,0,0
2020-02-15,2020,2,15,Algeria,Africa,42228429,0,0
2020-02-14,2020,2,14,Algeria,Africa,42228429,0,0
2020-02-13,2020,2,13,Algeria,Africa,42228429,0,0
2020-02-12,2020,2,12,Algeria,Africa,42228429,0,0
2020-02-11,2020,2,11,Algeria,Africa,42228429,0,0
2020-02-10,2020,2,10,Algeria,Africa,42228429,0,0
2020-02-09,2020,2,9,Algeria,Africa,42228429,0,0
2020-02-08,2020,2,8,Algeria,Africa,42228429,0,0
2020-02-07,2020,2,7,Algeria,Africa,42228429,0,0
2020-02-06,2020,2,6,Algeria,Africa,42228429,0,0
2020-02-05,2020,2,5,Algeria,Africa,42228429,0,0
2020-02-04,2020,2,4,Algeria,Africa,42228429,0,0
2020-02-03,2020,2,3,Algeria,Africa,42228429,0,0
2020-02-02,2020,2,2,Algeria,Africa,42228429,0,0
2020-02-01,2020,2,1,Algeria,Africa,42228429,0,0
2020-01-31,2020,1,31,Algeria,Africa,42228429,0,0
2020-01-30,2020,1,30,Algeria,Africa,42228429,0,0
2020-01-29,2020,1,29,Algeria,Africa,42228429,0,0
2020-01-28,2020,1,28,Algeria,Africa,42228429,0,0
2020-01-27,2020,1,27,Algeria,Africa,42228429,0,0
2020-01-26,2020,1,26,Algeria,Africa,42228429,0,0
2020-01-25,2020,1,25,Algeria,Africa,42228429,0,0
2020-01-24,2020,1,24,Algeria,Africa,42228429,0,0
2020-01-23,2020,1,23,Algeria,Africa,42228429,0,0
2020-01-22,2020,1,22,Algeria,Africa,42228429,0,0
2020-01-21,2020,1,21,Algeria,Africa,42228429,0,0
2020-01-20,2020,1,20,Algeria,Africa,42228429,0,0
2020-01-19,2020,1,19,Algeria,Africa,42228429,0,0
2020-01-18,2020,1,18,Algeria,Africa,42228429,0,0
2020-01-17,2020,1,17,Algeria,Africa,42228429,0,0
2020-01-16,2020,1,16,Algeria,Africa,42228429,0,0
2020-01-15,2020,1,15,Algeria,Africa,42228429,0,0
2020-01-14,2020,1,14,Algeria,Africa,42228429,0,0
2020-01-13,2020,1,13,Algeria,Africa,42228429,0,0
2020-01-12,2020,1,12,Algeria,Africa,42228429,0,0
2020-01-11,2020,1,11,Algeria,Africa,42228429,0,0
2020-01-10,2020,1,10,Algeria,Africa,42228429,0,0
2020-01-09,2020,1,9,Algeria,Africa,42228429,0,0
2020-01-08,2020,1,8,Algeria,Africa,42228429,0,0
2020-01-07,2020,1,7,Algeria,Africa,42228429,0,0
2020-01-06,2020,1,6,Algeria,Africa,42228429,0,0
2020-01-05,2020,1,5,Algeria,Africa,42228429,0,0
2020-01-04,2020,1,4,Algeria,Africa,42228429,0,0
2020-01-03,2020,1,3,Algeria,Africa,42228429,0,0
2020-01-02,2020,1,2,Algeria,Africa,42228429,0,0
2020-01-01,2020,1,1,Algeria,Africa,42228429,0,0
2020-06-15,2020,6,15,Andorra,Europe,77006,0,0
2020-06-14,2020,6,14,Andorra,Europe,77006,0,0
2020-06-13,2020,6,13,Andorra,Europe,77006,1,0
2020-06-12,2020,6,12,Andorra,Europe,77006,0,0
2020-06-11,2020,6,11,Andorra,Europe,77006,0,0
2020-06-10,2020,6,10,Andorra,Europe,77006,0,0
2020-06-09,2020,6,9,Andorra,Europe,77006,0,0
2020-06-08,2020,6,8,Andorra,Europe,77006,0,0
2020-06-07,2020,6,7,Andorra,Europe,77006,0,0
2020-06-06,2020,6,6,Andorra,Europe,77006,0,0
2020-06-05,2020,6,5,Andorra,Europe,77006,1,0
2020-06-04,2020,6,4,Andorra,Europe,77006,7,0
2020-06-03,2020,6,3,Andorra,Europe,77006,79,0
2020-06-02,2020,6,2,Andorra,Europe,77006,1,0
2020-06-01,2020,6,1,Andorra,Europe,77006,0,0
2020-05-31,2020,5,31,Andorra,Europe,77006,0,0
2020-05-30,2020,5,30,Andorra,Europe,77006,1,0
2020-05-29,2020,5,29,Andorra,Europe,77006,0,0
2020-05-28,2020,5,28,Andorra,Europe,77006,0,0
2020-05-27,2020,5,27,Andorra,Europe,77006,0,0
2020-05-26,2020,5,26,Andorra,Europe,77006,0,0
2020-05-25,2020,5,25,Andorra,Europe,77006,1,0
